date,forecast,lower_bound,upper_bound
2020-11-19 20:00:00+00:00,210.95856788461097,-7057.707038521144,7479.624174290365
2020-11-19 21:00:00+00:00,209.2389110065443,-7060.762094744558,7479.239916757647
2020-11-19 22:00:00+00:00,206.20143148914138,-7065.134728357833,7477.537591336116
2020-11-19 23:00:00+00:00,203.17317699296945,-7069.497891835453,7475.844245821391
2020-11-20 00:00:00+00:00,200.34036565486892,-7073.67192780281,7474.352659112548
2020-11-20 01:00:00+00:00,197.94506496271975,-7077.409445875173,7473.299575800613
2020-11-20 02:00:00+00:00,196.904680815431,-7079.791876701848,7473.60123833271
2020-11-20 03:00:00+00:00,198.8774947442063,-7079.160866748444,7476.915856236857
2020-11-20 04:00:00+00:00,203.454127771832,-7075.925790657575,7482.834046201238
2020-11-20 05:00:00+00:00,209.60197702334875,-7071.11925116377,7490.323205210468
2020-11-20 06:00:00+00:00,213.45351211355091,-7068.608778771657,7495.515802998758
2020-11-20 07:00:00+00:00,214.88878357718747,-7068.514323081891,7498.291890236266
2020-11-20 08:00:00+00:00,214.9577257352112,-7069.785949909799,7499.701401380221
2020-11-20 09:00:00+00:00,214.1326001984004,-7071.951397780817,7500.216598177619
2020-11-20 10:00:00+00:00,212.5860495450894,-7074.838024252708,7500.010123342888
2020-11-20 11:00:00+00:00,211.36991776715777,-7077.39398546956,7500.133821003876
2020-11-20 12:00:00+00:00,209.97802126313672,-7080.125465168686,7500.081507694959
2020-11-20 13:00:00+00:00,209.7115090762699,-7081.7313144425625,7501.1543325951025
2020-11-20 14:00:00+00:00,210.87673152973505,-7081.905183103606,7503.658646163077
2020-11-20 15:00:00+00:00,214.6876316676266,-7079.433128243194,7508.808391578446
2020-11-20 16:00:00+00:00,220.88815125948622,-7074.57120822713,7516.347510746103
2020-11-20 17:00:00+00:00,221.5565842456411,-7075.241129250309,7518.354297741591
2020-11-20 18:00:00+00:00,218.71348201244763,-7079.422340061474,7516.849304086369
2020-11-20 19:00:00+00:00,214.75353879788466,-7084.720146557618,7514.227224153388
2020-11-20 20:00:00+00:00,211.46276198761802,-7089.348541487929,7512.274065463165
2020-11-20 21:00:00+00:00,209.74310510955135,-7092.405571459229,7511.8917816783305
2020-11-20 22:00:00+00:00,206.70562559214844,-7096.780179177654,7510.1914303619515
2020-11-20 23:00:00+00:00,203.6773710959765,-7101.145317117102,7508.500059309056
2020-11-21 00:00:00+00:00,200.84455975787597,-7105.321318268633,7507.0104377843845
2020-11-21 01:00:00+00:00,198.4492590657268,-7109.060800065809,7505.959318197262
2020-11-21 02:00:00+00:00,197.40887491843804,-7111.445194871626,7506.262944708503
2020-11-21 03:00:00+00:00,199.38168884721335,-7110.816149257389,7509.579526951817
2020-11-21 04:00:00+00:00,203.95832187483904,-7107.583037871691,7515.49968162137
2020-11-21 05:00:00+00:00,210.1061711263558,-7102.778463448871,7522.990805701582
2020-11-21 06:00:00+00:00,213.95770621655797,-7100.269956492971,7528.185368926087
2020-11-21 07:00:00+00:00,215.39297768019452,-7100.177466604051,7530.9634219644395
